"h2","var.z","p0","t","nbar","nvar","nn"
0.25,0.1,0.964285714285714,44,11574.3461538462,27180922.7953846,26
0.25,0.1,0.964285714285714,45,11479.9230769231,24765614.3138462,26
0.25,0.1,0.964285714285714,46,11896.3461538462,27482336.9553846,26
0.25,0.1,0.964285714285714,47,11900.7307692308,27452309.3246154,26
0.25,0.1,0.964285714285714,48,12018.6923076923,23250437.5815385,26
0.25,0.1,0.964285714285714,49,12234.5,22077496.66,26
0.25,0.1,0.964285714285714,50,12773.0769230769,24943883.5138462,26
0.25,0.1,0.964285714285714,51,12608.2692307692,20358340.0446154,26
0.25,0.1,0.964285714285714,52,13042.9615384615,22726200.6784615,26
0.25,0.1,0.964285714285714,53,13531,22700224.16,26
0.25,0.1,0.964285714285714,54,13239.7307692308,19406797.8046154,26
0.25,0.1,0.964285714285714,55,13508.4615384615,20627164.8984615,26
0.25,0.1,0.964285714285714,56,14047.3076923077,21170452.7815385,26
0.25,0.1,0.964285714285714,57,13848.8461538462,16197847.8153846,26
0.25,0.1,0.964285714285714,58,13922.5,18976249.94,26
0.25,0.1,0.964285714285714,59,13886.5769230769,17427929.7738462,26
0.25,0.1,0.964285714285714,60,14452.5769230769,18440999.9338462,26
0.25,0.1,0.964285714285714,61,14288.3461538462,16365025.8353846,26
0.25,0.1,0.964285714285714,62,14705.8461538462,18545072.8553846,26
0.25,0.1,0.964285714285714,63,14810.0384615385,17982003.3184615,26
0.25,0.1,0.964285714285714,64,14734,16016597.76,26
0.25,0.1,0.964285714285714,65,15077.1153846154,14698769.9461538,26
0.25,0.1,0.964285714285714,66,15202.3461538462,16099613.6753846,26
0.25,0.1,0.964285714285714,67,15588.7307692308,16352054.3646154,26
0.25,0.1,0.964285714285714,68,15809.5384615385,15687210.5784615,26
0.25,0.1,0.964285714285714,69,15765.0769230769,14197332.9538462,26
0.25,0.1,0.964285714285714,70,15871.0384615385,10303832.3584615,26
0.25,0.1,0.964285714285714,71,16252.1923076923,9858206.08153846,26
0.25,0.1,0.964285714285714,72,16128.4230769231,8533596.97384615,26
0.25,0.1,0.964285714285714,73,15995.6153846154,10767661.6061538,26
0.25,0.1,0.964285714285714,74,16426.7692307692,10856005.5446154,26
0.25,0.1,0.964285714285714,75,16622.6153846154,9845854.56615385,26
0.25,0.1,0.964285714285714,76,16642.8461538462,7969762.61538462,26
0.25,0.1,0.964285714285714,77,17162.1153846154,8457967.62615385,26
0.25,0.1,0.964285714285714,78,16840.8076923077,7455685.44153846,26
0.25,0.1,0.964285714285714,79,17334.0384615385,7132132.03846154,26
0.25,0.1,0.964285714285714,80,17223.2692307692,6638355.96461539,26
0.25,0.1,0.964285714285714,81,17379.8461538462,7800656.85538462,26
0.25,0.1,0.964285714285714,82,17328.5769230769,7046377.53384615,26
0.25,0.1,0.964285714285714,83,17579.7692307692,6406439.94461538,26
0.25,0.1,0.964285714285714,84,17865.4230769231,6162254.73384615,26
0.25,0.1,0.964285714285714,85,17174.0769230769,6370033.27384615,26
0.25,0.1,0.964285714285714,86,17634.0769230769,5422833.35384615,26
0.25,0.1,0.964285714285714,87,17687.6538461538,6544819.27538462,26
0.25,0.1,0.964285714285714,88,17731.2307692308,5901304.66461538,26
0.25,0.1,0.964285714285714,89,18086,4982086.88,26
0.25,0.1,0.964285714285714,90,18105.2307692308,5837654.98461538,26
0.25,0.1,0.964285714285714,91,18162.6153846154,4608098.48615385,26
0.25,0.1,0.964285714285714,92,17914.8076923077,3644071.60153846,26
0.25,0.1,0.964285714285714,93,17850.6153846154,5424192.24615385,26
0.25,0.1,0.964285714285714,94,18030.1153846154,3284456.10615385,26
0.25,0.1,0.964285714285714,95,18088.1538461538,3818431.17538462,26
0.25,0.1,0.964285714285714,96,18583.6923076923,3578580.14153846,26
0.25,0.1,0.964285714285714,97,18479.3076923077,4141956.38153846,26
0.25,0.1,0.964285714285714,98,18518,3851584.08,26
0.25,0.1,0.964285714285714,99,18364.6538461538,3692880.79538462,26
0.25,0.1,0.964285714285714,100,18407.6923076923,3527664.30153846,26
0.25,0.2,0.25,0,20000,0,46
0.25,0.2,0.25,1,3775.9347826087,4997.70676328502,46
0.25,0.2,0.25,2,1209.5652173913,2541.9845410628,46
0.25,0.2,0.25,3,532.021739130435,1036.19951690821,46
0.25,0.2,0.25,4,283.869565217391,474.249275362319,46
0.25,0.2,0.25,5,175.782608695652,313.1961352657,46
0.25,0.2,0.25,6,118.239130434783,175.34154589372,46
0.25,0.2,0.25,7,85.3913043478261,165.887922705314,46
0.25,0.2,0.25,8,65.3260869565217,135.957971014493,46
0.25,0.2,0.25,9,52.3478260869565,119.254106280193,46
0.25,0.2,0.25,10,44.1521739130435,99.331884057971,46
0.25,0.2,0.25,11,37.5,112.833333333333,46
0.25,0.2,0.25,12,32.7826086956522,95.151690821256,46
0.25,0.2,0.25,13,29.4130434782609,126.78115942029,46
0.25,0.2,0.25,14,25.9782608695652,94.8217391304348,46
