"t","n","trial","p0","h2","var.z"
0,20000,1004,0.75,0.25,0.1
1,3192,1004,0.75,0.25,0.1
2,1122,1004,0.75,0.25,0.1
3,334,1004,0.75,0.25,0.1
4,122,1004,0.75,0.25,0.1
5,40,1004,0.75,0.25,0.1
6,6,1004,0.75,0.25,0.1
7,1,1004,0.75,0.25,0.1
0,20000,1005,0.75,0.25,0.1
1,3143,1005,0.75,0.25,0.1
2,1010,1005,0.75,0.25,0.1
3,406,1005,0.75,0.25,0.1
4,107,1005,0.75,0.25,0.1
5,45,1005,0.75,0.25,0.1
6,9,1005,0.75,0.25,0.1
0,20000,1006,0.75,0.25,0.1
1,2901,1006,0.75,0.25,0.1
2,983,1006,0.75,0.25,0.1
3,378,1006,0.75,0.25,0.1
4,116,1006,0.75,0.25,0.1
5,58,1006,0.75,0.25,0.1
6,21,1006,0.75,0.25,0.1
7,10,1006,0.75,0.25,0.1
0,20000,1007,0.75,0.25,0.1
1,3390,1007,0.75,0.25,0.1
2,1086,1007,0.75,0.25,0.1
3,413,1007,0.75,0.25,0.1
4,161,1007,0.75,0.25,0.1
5,51,1007,0.75,0.25,0.1
6,14,1007,0.75,0.25,0.1
7,1,1007,0.75,0.25,0.1
0,20000,1008,0.75,0.25,0.1
1,3022,1008,0.75,0.25,0.1
2,983,1008,0.75,0.25,0.1
3,360,1008,0.75,0.25,0.1
4,93,1008,0.75,0.25,0.1
5,52,1008,0.75,0.25,0.1
6,17,1008,0.75,0.25,0.1
7,2,1008,0.75,0.25,0.1
0,20000,1009,0.75,0.25,0.1
1,2852,1009,0.75,0.25,0.1
2,1035,1009,0.75,0.25,0.1
3,388,1009,0.75,0.25,0.1
4,136,1009,0.75,0.25,0.1
5,68,1009,0.75,0.25,0.1
6,36,1009,0.75,0.25,0.1
7,14,1009,0.75,0.25,0.1
8,8,1009,0.75,0.25,0.1
0,20000,1010,0.75,0.25,0.1
1,3361,1010,0.75,0.25,0.1
2,1178,1010,0.75,0.25,0.1
3,361,1010,0.75,0.25,0.1
4,150,1010,0.75,0.25,0.1
5,59,1010,0.75,0.25,0.1
6,5,1010,0.75,0.25,0.1
0,20000,1011,0.75,0.25,0.1
1,3418,1011,0.75,0.25,0.1
2,1123,1011,0.75,0.25,0.1
3,498,1011,0.75,0.25,0.1
4,237,1011,0.75,0.25,0.1
5,92,1011,0.75,0.25,0.1
6,51,1011,0.75,0.25,0.1
7,49,1011,0.75,0.25,0.1
8,26,1011,0.75,0.25,0.1
9,31,1011,0.75,0.25,0.1
10,33,1011,0.75,0.25,0.1
11,17,1011,0.75,0.25,0.1
12,29,1011,0.75,0.25,0.1
13,40,1011,0.75,0.25,0.1
14,46,1011,0.75,0.25,0.1
15,20,1011,0.75,0.25,0.1
16,26,1011,0.75,0.25,0.1
17,25,1011,0.75,0.25,0.1
18,21,1011,0.75,0.25,0.1
