"t","p0","var.z","h2","llbar","llvar","n","nn"
8,0.75,0.1,0.5,-0.510270355397643,0.642105692347397,46.9088838268793,878
8,0.75,0.1,1,0.200115085730047,0.0234715374889317,404.693,1000
8,0.75,0.2,0.25,-0.283844173808224,0.20147950469266,91.7411883182276,993
8,0.75,0.2,0.5,0.165118368027421,0.0143304231832991,561.556,1000
8,0.75,0.2,1,0.36345107170371,0.00115756662226449,4834.499,1000
8,0.75,0.4,0.25,0.0800411346077844,0.00897641664753029,865.802,1000
8,0.75,0.4,0.5,0.284125454331148,0.00127692824007371,4424.306,1000
8,0.75,0.4,1,0.147534063709527,0.00066553469999355,14090.684,1000
8,0.964285714285714,0.1,0.25,-1.163875657879,2.98071597773,193.109523809524,210
8,0.964285714285714,0.1,0.5,-0.398585476052216,1.61751699752063,493.41746031746,630
8,0.964285714285714,0.1,1,0.354813737727567,0.0676171873146664,2838.34627170582,979
8,0.964285714285714,0.2,0.25,-0.332011004158077,1.38075149481839,532.130952380952,756
8,0.964285714285714,0.2,0.5,0.312349867427597,0.0478964107413197,2913.44646464646,990
8,0.964285714285714,0.2,1,0.178493357662354,0.0124923647585703,14042.129,1000
8,0.964285714285714,0.4,0.25,0.252163543149648,0.0438613361024572,2879.691,1000
8,0.964285714285714,0.4,0.5,0.195639981056798,0.010655042529146,12158.824,1000
8,0.964285714285714,0.4,1,0.0130631854075347,0.00536119799892665,19492.977,1000
9,0.25,0.1,0.25,-0.35501825663237,0.27160001633514,2.41648106904232,449
9,0.25,0.1,0.5,-0.4346405416298,0.271913838410955,3.74801901743265,631
9,0.25,0.1,1,-0.241785737622085,0.127206698690208,14.6224489795918,980
9,0.25,0.2,0.25,-0.247297193891186,0.0256322426863523,45.11,1000
9,0.25,0.2,0.5,-0.122755928171516,0.0107706019954857,87.689,1000
9,0.25,0.2,1,0.0398353387357105,0.00224183885573207,314.019,1000
9,0.25,0.4,0.25,-0.0839637539689315,0.00125673240092004,583.205,1000
9,0.25,0.4,0.5,-0.0316346970683899,0.000843865261832843,863.961,1000
9,0.25,0.4,1,0.00111976933713781,0.000527862283252803,1336.447,1000
9,0.75,0.1,0.25,-0.975741595381273,0.984383200122145,15.1084905660377,212
9,0.75,0.1,0.5,-0.446244861822629,0.603848295920666,44.7460317460317,756
9,0.75,0.1,1,0.267124023667302,0.0195519723201387,511.157,1000
9,0.75,0.2,0.25,-0.344679250561749,0.339302748741463,78.5799180327869,976
9,0.75,0.2,0.5,0.225863842494102,0.0131792052325118,675.313,1000
9,0.75,0.2,1,0.328589030654509,0.00131834584030368,6937.834,1000
9,0.75,0.4,0.25,0.128769450833005,0.008238982338153,947.67,1000
9,0.75,0.4,0.5,0.278261872449333,0.00112777756442525,5874.079,1000
9,0.75,0.4,1,0.0919515103569663,0.000554151888563474,16322.546,1000
9,0.964285714285714,0.1,0.25,-1.3414407874043,3.64851262307491,205.979310344828,145
9,0.964285714285714,0.1,0.5,-0.247963743458207,1.42743063433793,636.78853046595,558
9,0.964285714285714,0.1,1,0.356395497563888,0.0917315242975281,4179.1934493347,977
9,0.964285714285714,0.2,0.25,-0.217291277953562,1.07117338062088,641.126984126984,693
9,0.964285714285714,0.2,0.5,0.312173829042009,0.0827475673621789,4092.92214357937,989
9,0.964285714285714,0.2,1,0.085463722539588,0.00850914667212137,16594.671,1000
9,0.964285714285714,0.4,0.25,0.266180482627542,0.0244099281017308,3790.03703703704,999
9,0.964285714285714,0.4,0.5,0.131285653037577,0.00868340181108764,14626.438,1000
9,0.964285714285714,0.4,1,0.00603787890851231,0.00473860280802271,19747.525,1000
10,0.25,0.1,0.25,-0.177616710144927,0.157437350260053,1.82332155477032,283
10,0.25,0.1,0.5,-0.271804903566104,0.198858286508093,2.87111111111111,450
10,0.25,0.1,1,-0.186812628714179,0.124628896072853,12.9251844046365,949
10,0.25,0.2,0.25,-0.227001572698101,0.0302212198220548,35.589,1000
10,0.25,0.2,0.5,-0.093253198022676,0.0123199982568622,78.082,1000
10,0.25,0.2,1,0.0555576791612718,0.00191449858718977,327.415,1000
10,0.25,0.4,0.25,-0.0745543096396104,0.00137982735521421,536.499,1000
10,0.25,0.4,0.5,-0.0249191230812132,0.000834864905045668,837.455,1000
10,0.25,0.4,1,0.00587073410411373,0.000494009526811614,1338.441,1000
10,0.75,0.1,0.25,-0.940236561962055,1.04033539340459,15.1634615384615,104
10,0.75,0.1,0.5,-0.365240035179236,0.607048688769568,45.8678955453149,651
10,0.75,0.1,1,0.316394167152992,0.0161935858129064,690.32,1000
10,0.75,0.2,0.25,-0.357516426927829,0.48639779347269,71.8791801510248,927
10,0.75,0.2,0.5,0.271040561422099,0.0108025285797149,863.802,1000
10,0.75,0.2,1,0.268139971797991,0.00169982980005468,9600.577,1000
10,0.75,0.4,0.25,0.171556234648376,0.00668614085083931,1090.411,1000
10,0.75,0.4,0.5,0.25034734408086,0.00104888489159577,7747.146,1000
10,0.75,0.4,1,0.0535047523001799,0.000481180023014344,17889.689,1000
10,0.964285714285714,0.1,0.25,-0.753439943907259,2.58192311725945,248.731958762887,97
10,0.964285714285714,0.1,0.5,-0.104440478986145,1.12742833559583,904.363636363636,506
10,0.964285714285714,0.1,1,0.331785514430998,0.0756258272700565,6001.05749486653,974
10,0.964285714285714,0.2,0.25,-0.17218778510384,1.10499750368555,827.040435458787,643
10,0.964285714285714,0.2,0.5,0.306198388290196,0.0307185663315197,5689.50101419878,986
10,0.964285714285714,0.2,1,0.0431757046459182,0.0059508959914419,17992.086,1000
10,0.964285714285714,0.4,0.25,0.263577498215235,0.0208725077578516,4989.57057057057,999
10,0.964285714285714,0.4,0.5,0.068470282959909,0.00628898348831669,16571.709,1000
10,0.964285714285714,0.4,1,0.00410284163658784,0.00489855572540002,19865.399,1000
11,0.25,0.1,0.25,-0.139523679237237,0.131257172457102,1.59685863874346,191
11,0.25,0.1,0.5,-0.226573614780175,0.181103816223655,2.5030303030303,330
11,0.25,0.1,1,-0.152560172313032,0.114968685454062,12.0489130434783,920
11,0.25,0.2,0.25,-0.208347226400264,0.034300234831832,28.744,1000
11,0.25,0.2,0.5,-0.0844016446926897,0.0118503350786937,71.822,1000
11,0.25,0.2,1,0.0637686235003942,0.00172112390661184,346.722,1000
11,0.25,0.4,0.25,-0.0691289587691483,0.00141137288218314,498.356,1000
11,0.25,0.4,0.5,-0.0192471251665024,0.000762321662249668,817.219,1000
11,0.25,0.4,1,0.00690527052869201,0.000476936707086197,1346.804,1000
11,0.75,0.1,0.25,-0.735423436441643,0.925474003699551,14.3148148148148,54
11,0.75,0.1,0.5,-0.266049009425768,0.47535411895215,54.0784671532847,548
11,0.75,0.1,1,0.355612180446799,0.0134821472486983,978.761,1000
11,0.75,0.2,0.25,-0.270822060240915,0.441423198428616,71.5948477751756,854
11,0.75,0.2,0.5,0.308723342990596,0.0074937194800138,1154.235,1000
11,0.75,0.2,1,0.194702742127573,0.00186389003125115,12500.532,1000
11,0.75,0.4,0.25,0.203955432240472,0.00576962984779782,1307.675,1000
11,0.75,0.4,0.5,0.212436281416647,0.00110100868122457,9929.737,1000
